"","First","Last","Nickname","Ht.","Wt.","Reach","Stance","W","L","D","Belt"
"76","Ali","AlQaisi","The Royal Fighter","5' 6""","135 lbs.","68.0""","Orthodox",8,5,0,NA
"77","Rico","Altamirano","","5' 10""","170 lbs.","--","",4,3,0,NA
"78","Mike","Altman","","5' 10""","185 lbs.","--","Orthodox",1,4,0,NA
"79","Sean","Alvarez","","6' 0""","235 lbs.","--","Orthodox",4,3,0,NA
"80","Eddie","Alvarez","","5' 9""","155 lbs.","69.0""","Orthodox",29,6,0,NA
"81","Jaime","Alvarez","","5' 8""","125 lbs.","69.0""","Orthodox",6,1,0,NA
"82","Joel","Alvarez","El Fenomeno","6' 3""","155 lbs.","77.0""","Orthodox",18,2,0,NA
"83","Thiago","Alves","Pitbull","5' 9""","170 lbs.","70.0""","Orthodox",23,15,0,NA
"84","Anthony","Alves","","--","--","--","",1,4,0,NA
"85","Amilcar","Alves","","6' 0""","170 lbs.","--","Southpaw",15,12,0,NA
"86","Warlley","Alves","","5' 11""","170 lbs.","72.0""","Orthodox",15,4,0,NA
"87","Rafael","Alves","The Turn","5' 8""","145 lbs.","68.0""","Orthodox",19,9,0,NA
"88","Sam","Alvey","Smile'N","6' 2""","205 lbs.","75.0""","Southpaw",33,14,1,NA
"89","Andre","Amado","Dida","6' 0""","154 lbs.","--","Orthodox",6,4,1,NA
"90","Adlan","Amagov","Borz","6' 2""","170 lbs.","76.0""","Orthodox",14,2,1,NA
"91","Maiara","Amanajas dos Santos","","5' 5""","115 lbs.","--","Southpaw",7,3,0,NA
"92","Chris","Amarante","","--","185 lbs.","--","",2,0,0,NA
"93","Jimmy","Ambriz","The Titan","6' 2""","315 lbs.","--","Southpaw",17,21,1,NA
"94","JJ","Ambrose","","5' 10""","170 lbs.","--","Orthodox",28,7,0,NA
"95","Alen","Amedovski","","5' 10""","185 lbs.","74.0""","Orthodox",8,2,0,NA
"96","Makwan","Amirkhani","Mr. Finland","5' 10""","145 lbs.","72.0""","Southpaw",16,5,0,NA
"97","Bertrand","Amoussou","","5' 8""","190 lbs.","--","Orthodox",1,1,0,NA
"98","Karl","Amoussou","The Psycho","5' 11""","185 lbs.","--","Orthodox",27,7,2,NA
"99","Eryk","Anders","Ya Boi","6' 1""","185 lbs.","75.0""","Southpaw",13,5,0,NA
"100","Matt","Andersen","","6' 2""","230 lbs.","--","Southpaw",14,8,1,NA
"101","Andy","Anderson","The Hammer","5' 6""","240 lbs.","--","",0,1,0,NA
"102","Lowell","Anderson","","5' 6""","160 lbs.","--","Orthodox",0,1,0,NA
"103","Corey","Anderson","Overtime","6' 3""","205 lbs.","79.0""","Orthodox",14,5,0,NA
"104","Derek","Anderson","Barbaric","6' 0""","155 lbs.","--","",14,3,0,NA
"105","Megan","Anderson","","6' 0""","145 lbs.","72.0""","Orthodox",11,5,0,NA
"106","Alex","Andrade","El Toro","5' 11""","200 lbs.","--","Orthodox",10,5,0,NA
"107","Jessica","Andrade","Bate Estaca","5' 1""","115 lbs.","62.0""","Orthodox",21,8,0,NA
"108","Viscardi","Andrade","","5' 11""","170 lbs.","75.0""","Orthodox",19,6,0,NA
"109","Jermaine","Andre","","5' 7""","200 lbs.","--","Orthodox",14,4,0,NA
"110","Dylan","Andrews","The Villain","6' 1""","185 lbs.","74.0""","Switch",18,7,0,NA
"111","Reese","Andy","Riptide","6' 0""","205 lbs.","--","Orthodox",7,3,0,NA
"112","Julius","Anglickas","","6' 3""","205 lbs.","--","Orthodox",5,1,0,NA
"113","Collin","Anglin","","5' 9""","145 lbs.","71.0""","Orthodox",8,1,0,NA
"114","Yoji","Anjo","Mr. 200%","5' 11""","205 lbs.","--","Orthodox",0,5,1,NA
"115","Magomed","Ankalaev","","6' 3""","205 lbs.","75.0""","Orthodox",15,1,0,NA
"116","Nina","Ansaroff","","5' 5""","115 lbs.","64.0""","Orthodox",10,6,0,NA
"117","Gadzhimurad","Antigulov","","5' 11""","205 lbs.","70.0""","Orthodox",20,8,0,NA
"118","Adam","Antolin","Captain Chaos","5' 5""","125 lbs.","63.0""","Orthodox",12,3,0,NA
"119","Angelo","Antonio","","--","205 lbs.","--","Orthodox",1,4,0,NA
"120","Azunna","Anyanwu","Zulu","6' 1""","251 lbs.","--","Orthodox",14,5,0,NA
"121","Shinsho","Anzai","Animal","5' 7""","170 lbs.","70.0""","Orthodox",10,3,0,NA
"122","Shinya","Aoki","Tobikan Judan","5' 11""","154 lbs.","--","Southpaw",39,7,0,NA
"123","Aori","Qileng","","5' 7""","125 lbs.","--","",15,6,0,NA
"124","Josh","Appelt","","5' 10""","255 lbs.","--","Southpaw",15,7,0,NA
"125","Erik","Apple","","6' 0""","170 lbs.","--","Orthodox",10,3,0,NA
"126","Kenji","Arai","","5' 10""","145 lbs.","--","Southpaw",15,15,5,NA
"127","Romie","Aram","","5' 10""","170 lbs.","--","Orthodox",7,1,0,NA
"128","Felipe","Arantes","Sertanejo","5' 8""","135 lbs.","73.0""","Orthodox",18,10,1,NA
"129","Igor","Araujo","","6' 1""","170 lbs.","77.0""","Orthodox",25,9,0,NA
"130","Viviane","Araujo","Vivi","5' 4""","125 lbs.","68.0""","Orthodox",10,2,0,NA
"131","Julio","Arce","","5' 7""","145 lbs.","70.0""","Southpaw",16,4,0,NA
"132","Art","Arciniega","King Arthur","5' 8""","145 lbs.","--","",15,7,0,NA
"133","Tristan","Arenal","","--","155 lbs.","--","",7,4,0,NA
"134","Andrei","Arlovski","The Pitbull","6' 3""","240 lbs.","77.0""","Orthodox",30,20,0,NA
"135","Joey","Armstrong","","--","--","--","",5,2,0,NA
"136","Austin","Arnett","","6' 0""","145 lbs.","72.0""","Orthodox",16,6,0,NA
"137","Ricardo","Arona","The Brazilian Tiger","5' 11""","205 lbs.","--","Orthodox",14,5,0,NA
"138","Chalid","Arrab","Die Faust","5' 11""","205 lbs.","--","Orthodox",7,3,0,NA
"139","Akbarh","Arreola","El Caballero","5' 10""","155 lbs.","71.0""","Southpaw",23,11,1,NA
"140","Matt","Arroyo","No Regard","5' 10""","170 lbs.","72.0""","Orthodox",3,3,0,NA
"141","Antonio","Arroyo","","6' 3""","185 lbs.","73.0""","Orthodox",9,4,0,NA
"142","Gilles","Arsene","","5' 9""","190 lbs.","--","Southpaw",1,1,0,NA
"143","Veta","Arteaga","","5' 7""","125 lbs.","--","",3,1,0,NA
"144","Cesar","Arzamendia","Goku","5' 11""","155 lbs.","--","Orthodox",8,3,0,NA
"145","Teddy","Ash","Bear","6' 1""","185 lbs.","73.0""","Switch",14,5,0,NA
"146","Arman","Ashimov","Mustafa Ozturik","5' 6""","125 lbs.","--","",11,3,1,NA
"147","Askar","Askar","AK-47","5' 7""","145 lbs.","69.0""","Orthodox",11,1,0,NA
"148","Askar","Askarov","Bullet","5' 6""","125 lbs.","67.0""","Orthodox",13,0,1,NA
"149","Cyril","Asker","Silverback","6' 0""","247 lbs.","74.0""","Orthodox",9,4,0,NA
"150","Scott","Askham","","6' 3""","185 lbs.","75.0""","Southpaw",14,4,0,NA
"151","Ben","Askren","Funky","5' 11""","170 lbs.","73.0""","Orthodox",19,2,0,NA
"152","Ibo","Aslan","The Last Ottoman","6' 3""","205 lbs.","--","",8,0,0,NA
"153","Tom","Aspinall","","6' 5""","256 lbs.","78.0""","Orthodox",10,2,0,NA
"154","Bruno","Assis","Brunao","6' 2""","185 lbs.","--","Orthodox",8,4,0,NA
"155","Junior","Assuncao","","5' 9""","145 lbs.","72.0""","Orthodox",16,6,0,NA
"156","Raphael","Assuncao","","5' 5""","135 lbs.","66.0""","Orthodox",27,8,0,NA
"157","Bazigit","Atajev","Volk","6' 1""","230 lbs.","--","Orthodox",17,1,0,NA
"158","Rich","Attonito","The Raging Bull","5' 10""","170 lbs.","72.0""","Orthodox",10,5,0,NA
"159","Olivier","Aubin-Mercier","The Canadian Gangster","5' 9""","155 lbs.","70.0""","Southpaw",11,5,0,NA
"160","Pat","Audinwood","Awesomely Awesome","6' 0""","155 lbs.","--","Orthodox",11,2,1,NA
"161","Jose","Augusto","Gugu","6' 3""","251 lbs.","--","",6,2,0,NA
"162","Marcus","Aurelio","Maximus","5' 10""","155 lbs.","74.0""","Orthodox",22,10,0,NA
"163","David","Avellan","","5' 9""","185 lbs.","--","Orthodox",2,1,0,NA
"164","Blas","Avena","The Disciple","6' 0""","170 lbs.","74.0""","Orthodox",8,7,0,NA
"165","Levi","Avera","","6' 1""","170 lbs.","--","",18,15,0,NA
"166","Anthony","Avila","","5' 7""","145 lbs.","--","",13,5,0,NA
"167","Chris","Avila","","5' 10""","145 lbs.","--","Orthodox",5,4,0,NA
"168","Julia","Avila","Raging Panda","5' 7""","135 lbs.","68.0""","Orthodox",8,2,0,NA
"169","Saad","Awad","Assassin","5' 11""","155 lbs.","--","",20,9,0,NA
"170","Javy","Ayala","Eye Candy","6' 1""","265 lbs.","--","",10,5,0,NA
"171","Jessin","Ayari","","6' 0""","155 lbs.","73.0""","Orthodox",16,6,0,NA
"172","Abu","Azaitar","","5' 9""","185 lbs.","76.0""","Orthodox",14,1,1,NA
"173","Ottman","Azaitar","Bulldozer","5' 8""","155 lbs.","71.0""","Switch",13,0,0,NA
"174","Luiz","Azeredo","","5' 9""","154 lbs.","--","Orthodox",15,10,0,NA
"175","Luciano","Azevedo","","6' 3""","161 lbs.","--","Orthodox",17,9,1,NA
"176","Hunter","Azure","","5' 8""","145 lbs.","69.0""","Orthodox",9,1,0,NA
"259","Niklas","Backstrom","","6' 1""","145 lbs.","--","Orthodox",11,3,0,NA
"310","Seth","Baczynski","The Polish Pistola","6' 3""","170 lbs.","75.0""","Orthodox",20,14,0,NA
"410","Ryan","Bader","Darth","6' 2""","205 lbs.","74.0""","Orthodox",23,5,0,NA
"510","Izabela","Badurek","","5' 5""","115 lbs.","--","Orthodox",6,3,0,NA
"610","Miguel","Baeza","Caramel Thunder","6' 2""","170 lbs.","74.0""","Orthodox",10,0,0,NA
"710","Ali","Bagautinov","Puncher","5' 4""","125 lbs.","65.0""","Orthodox",15,6,0,NA
"810","Mehdi","Baghdad","The Sultan","6' 1""","155 lbs.","--","Orthodox",11,5,0,NA
"910","Melsik","Baghdasaryan","The Gun","5' 9""","145 lbs.","70.0""","Southpaw",5,1,0,NA
"1010","Siyar","Bahadurzada","The Great","5' 11""","170 lbs.","73.0""","Orthodox",24,8,1,NA
"1110","Ignacio","Bahamondes","La Jaula","6' 3""","170 lbs.","75.0""","Orthodox",11,3,0,NA
"1210","Shamar","Bailey","","5' 9""","155 lbs.","75.0""","Southpaw",16,11,0,NA
"1310","Jordan","Bailey","","5' 9""","145 lbs.","--","",6,3,0,NA
"1410","Scott","Baker","","6' 0""","210 lbs.","--","",1,1,0,NA
"1510","Bryan","Baker","The Beast","6' 3""","185 lbs.","--","Orthodox",18,5,0,NA
"1610","Oluwale","Bamgbose","Holy War Angel","5' 11""","185 lbs.","78.0""","Switch",6,4,0,NA
"1710","Stephen","Banaszak","","6' 0""","145 lbs.","--","",5,5,0,NA
"1810","Marcin","Bandel","Bomba","5' 10""","155 lbs.","--","Orthodox",15,7,0,NA
"1910","Humberto","Bandenay","","5' 11""","145 lbs.","71.0""","Southpaw",14,7,0,NA
"2010","Tae Hyun","Bang","Supernatural","5' 9""","155 lbs.","71.0""","Switch",18,10,0,NA
"2110","Yohan","Banks","","--","--","--","",2,1,0,NA
"2210","Antonio","Banuelos","","5' 5""","135 lbs.","63.0""","Orthodox",20,11,1,NA
"2310","Renan","Barao","The Baron","5' 6""","145 lbs.","70.0""","Orthodox",34,9,0,NA
"2410","Junior","Barata","","5' 10""","170 lbs.","--","Orthodox",9,3,1,NA
"2510","Maycee","Barber","The Future","5' 5""","125 lbs.","65.0""","Switch",8,2,0,NA
"261","Bryan","Barberena","Bam Bam","6' 0""","170 lbs.","72.0""","Southpaw",15,7,0,NA
"271","Edson","Barboza","Junior","5' 11""","145 lbs.","75.0""","Orthodox",21,9,0,NA
"281","Raoni","Barcelos","","5' 7""","135 lbs.","67.0""","Orthodox",16,1,0,NA
"291","Luke","Barnatt","The Bigslow","6' 6""","185 lbs.","77.0""","Orthodox",13,4,0,NA
"301","James","Barnes","","5' 8""","145 lbs.","--","",7,2,0,NA
"311","Nick","Barnes","","5' 11""","170 lbs.","--","",11,2,0,NA
"321","Josh","Barnett","The Warmaster","6' 3""","250 lbs.","78.0""","Orthodox",35,8,0,NA
"331","Chris","Barnhizer","","--","--","--","",2,3,0,NA
"341","David","Baron","","5' 6""","155 lbs.","--","Switch",17,4,1,NA
"351","Phil","Baroni","The New York Bad Ass","5' 9""","170 lbs.","72.0""","Orthodox",15,18,0,NA
"361","Dan","Barrera","The Fireman","5' 9""","170 lbs.","--","Orthodox",3,1,0,NA
"371","Carlos","Barreto","","6' 4""","230 lbs.","--","Orthodox",14,9,0,NA
"381","Jose","Barreto","","--","185 lbs.","--","Southpaw",0,1,0,NA
"391","Peter","Barrett","Slippery","5' 10""","145 lbs.","73.0""","Southpaw",11,5,0,NA
"401","Marc-Andre","Barriault","Powerbar","6' 1""","185 lbs.","74.0""","Orthodox",11,4,0,NA
"411","David","Barrios","","5' 6""","145 lbs.","--","",4,8,0,NA
"421","Alexandre","Barros","Baixinho","5' 9""","170 lbs.","--","Southpaw",22,11,0,NA
"431","Ricardo","Barros","","6' 1""","205 lbs.","--","",2,2,0,NA
"441","Francimar","Barroso","Bodao","6' 1""","205 lbs.","75.0""","Orthodox",19,7,0,NA
"451","Pat","Barry","HD","5' 11""","235 lbs.","74.0""","Orthodox",8,7,0,NA
"461","Dean","Barry","The Sniper","--","155 lbs.","--","",3,1,0,NA
"471","Enrique","Barzola","El Fuerte","5' 7""","145 lbs.","70.0""","Orthodox",17,5,2,NA
"481","Stephen","Bass","Bigfish","5' 9""","145 lbs.","--","Orthodox",11,2,0,NA
"491","Sean","Bassett","","--","155 lbs.","--","",0,4,0,NA
"501","Ryan","Bastianelli","Relentless","5' 5""","135 lbs.","--","",6,7,0,NA
"511","Shayna","Baszler","The Queen of Spades","5' 7""","135 lbs.","--","Orthodox",15,11,0,NA
"521","Batgerel","Danaa","Storm","5' 7""","135 lbs.","70.0""","Orthodox",7,2,0,NA
"531","Michel","Batista","","6' 3""","260 lbs.","--","Orthodox",4,1,0,NA
"541","Alan","Baudot","The Black Samourai","6' 3""","243 lbs.","79.0""","Orthodox",8,2,0,NA
"551","Mario","Bautista","","5' 9""","135 lbs.","69.0""","Switch",8,2,0,NA
"561","Chris","Beal","Real Deal","5' 7""","125 lbs.","69.0""","Orthodox",10,5,0,NA
"571","Rudy","Bears","","5' 11""","170 lbs.","--","Southpaw",16,15,0,NA
"581","Salvador","Becerra","","5' 9""","155 lbs.","--","",5,2,0,NA
"591","Ariel","Beck","","5' 6""","125 lbs.","66.0""","Southpaw",4,5,0,NA
"601","Jeff","Bedard","Little Popeye","5' 6""","145 lbs.","--","Orthodox",13,3,0,NA
"611","Eric","Bedard","Lucky Strikes","6' 2""","239 lbs.","--","",6,7,0,NA
"621","Johnny","Bedford","Brutal","5' 10""","135 lbs.","71.0""","Orthodox",21,13,1,NA
"631","Chase","Beebe","","5' 7""","135 lbs.","67.0""","Orthodox",24,13,1,NA
"641","Lyle","Beerbohm","Fancy Pants","5' 10""","155 lbs.","--","Southpaw",24,3,0,NA
"651","Mirsad","Bektic","","5' 8""","145 lbs.","70.0""","Orthodox",13,4,0,NA
"661","Diana","Belbita","The Warrior Princess","5' 7""","125 lbs.","68.0""","Orthodox",13,6,0,NA
"671","Alan","Belcher","The Talent","6' 2""","185 lbs.","75.0""","Orthodox",18,8,0,NA
"681","Vitor","Belfort","The Phenom","6' 0""","185 lbs.","74.0""","Southpaw",26,14,0,NA
"691","Danilo","Belluardo","Caterpillar","6' 0""","155 lbs.","74.0""","Southpaw",12,5,0,NA
"701","Joey","Beltran","The Mexicutioner","6' 1""","185 lbs.","75.0""","Orthodox",17,14,0,NA
"711","Marco","Beltran","Psycho","5' 8""","125 lbs.","69.0""","Orthodox",8,6,0,NA
"721","Joseph","Benavidez","","5' 4""","125 lbs.","65.0""","Southpaw",28,8,0,NA
"731","Mike","Bencic","Batman","6' 0""","215 lbs.","--","Orthodox",1,2,0,NA
"741","Dave","Beneteau","Dangerous","6' 2""","250 lbs.","--","Orthodox",6,5,1,NA
"751","Karla","Benitez","","5' 3""","113 lbs.","--","",14,11,1,NA
"761","Gabriel","Benitez","Moggly","5' 8""","155 lbs.","71.0""","Southpaw",22,9,0,NA
"771","Charles","Bennett","Krazy Horse","5' 8""","155 lbs.","--","Orthodox",30,33,2,NA
"781","Josh","Bennett","","6' 4""","259 lbs.","--","Orthodox",11,14,0,NA
"791","DeAnna","Bennett","The Argentine Assassin","5' 4""","125 lbs.","68.0""","Orthodox",8,3,1,NA
"801","Lance","Benoist","","5' 11""","170 lbs.","72.0""","Southpaw",7,2,0,NA
"811","Joe","Benoit","","5' 9""","170 lbs.","--","Orthodox",11,4,0,NA
"821","Ryan","Benoit","Baby Face","5' 5""","125 lbs.","68.0""","Orthodox",10,7,0,NA
"831","Pat","Benson","","5' 9""","155 lbs.","--","",3,5,3,NA
"841","Len","Bentley","","5' 9""","155 lbs.","--","",10,6,0,NA
"851","Steve","Berger","The Red Nosed Pitbull","5' 11""","170 lbs.","--","Orthodox",21,23,2,NA
"861","Kenneth","Bergh","","6' 2""","205 lbs.","74.0""","Orthodox",8,0,0,NA
"871","Bret","Bergmark","The Angry Hick","5' 9""","170 lbs.","--","",6,1,1,NA
"881","Keith","Berish","Sha Bang Bang","6' 0""","205 lbs.","--","Orthodox",5,1,0,NA
"891","Dennis","Bermudez","The Menace","5' 6""","155 lbs.","66.0""","Orthodox",17,9,0,NA
"901","Manny","Bermudez","The Bermudez Triangle","5' 10""","145 lbs.","71.0""","Orthodox",14,2,0,NA
"911","Talita","Bernardo","","5' 4""","135 lbs.","68.0""","Orthodox",6,4,0,NA
"921","Dave","Berry","","--","--","--","",0,1,0,NA
"931","Keith","Berry","","6' 1""","185 lbs.","--","",15,14,1,NA
"941","Dieusel","Berto","","5' 9""","200 lbs.","--","",0,3,0,NA
"951","Edson","Berto","Little Tiger","5' 6""","155 lbs.","--","Orthodox",17,12,1,NA
"961","Allen","Berube","Monstah Lobstah","5' 8""","155 lbs.","--","Orthodox",4,3,0,NA
"971","Anton","Berzin","The Body Snatcher","6' 2""","205 lbs.","--","Orthodox",5,1,0,NA
"981","Scott","Bessac","","6' 4""","245 lbs.","--","",4,6,0,NA
"991","Matt","Bessette","The Mangler","5' 10""","145 lbs.","70.0""","Orthodox",22,9,0,NA
"1001","Khadzhi","Bestaev","Best","6' 6""","185 lbs.","76.0""","",10,4,0,NA
"1011","Fernando","Bettega","","--","170 lbs.","--","",7,5,0,NA
"1021","Arjan","Bhullar","","6' 1""","245 lbs.","75.0""","Orthodox",9,1,0,NA
"1031","KB","Bhullar","The Bengal","6' 4""","185 lbs.","78.0""","Switch",8,1,0,NA
"1041","Bibulatov","Magomed","Chaborz","5' 5""","125 lbs.","65.0""","Orthodox",14,2,0,NA
"1051","David","Bielkheden","","5' 10""","155 lbs.","71.0""","Orthodox",24,12,0,NA
"1061","Jeremiah","Billington","","5' 9""","205 lbs.","--","Orthodox",11,2,0,NA
"1071","Scott","Bills","","5' 10""","170 lbs.","--","",7,9,1,NA
"1081","Anthony","Birchak","El Toro","5' 8""","135 lbs.","69.0""","Orthodox",16,7,0,NA
"1091","Chris","Birchler","The Big Buck","6' 3""","205 lbs.","--","Switch",7,4,0,NA
"1101","Michael","Bisping","The Count","6' 1""","185 lbs.","75.0""","Orthodox",30,9,0,NA
"1111","Amaury","Bitetti","","5' 9""","185 lbs.","--","Orthodox",5,2,0,NA
"1121","Simon","Biyong","","--","205 lbs.","--","",7,1,0,NA
"1131","Jan","Blachowicz","","6' 2""","205 lbs.","78.0""","Orthodox",28,8,0,NA
"1141","Jason","Black","The Black Legion","5' 8""","155 lbs.","--","Orthodox",23,4,1,NA
"1151","Brad","Blackburn","Bad Brad","5' 10""","170 lbs.","73.0""","Orthodox",18,13,1,NA
"1161","Jason","Blackford","","--","--","--","",3,3,0,NA
"1171","Tom","Blackledge","","--","205 lbs.","--","Orthodox",10,7,0,NA
"1181","Sherrard","Blackledge","The Thriller","5' 11""","155 lbs.","75.0""","Orthodox",5,1,0,NA
"1191","Maximo","Blanco","Maxi","5' 8""","145 lbs.","71.0""","Orthodox",12,8,1,NA
"1201","David","Blanco","","5' 7""","145 lbs.","--","",2,0,0,NA
"1211","Curtis","Blaydes","Razor","6' 4""","265 lbs.","80.0""","Orthodox",14,3,0,NA
"1221","Arlene","Blencowe","Angerfist","5' 5""","145 lbs.","--","",9,6,0,NA
"1231","Byron","Bloodworth","","5' 8""","135 lbs.","--","Orthodox",6,3,0,NA
